id_symbol_primary,id_protein_name,id_geneID,chromosome,start,end,strand
OR4F5,olfactory receptor family 4 subfamily F member 5,79501,1,65419,71585,+
OR4F29,olfactory receptor family 4 subfamily F member 29,729759,1,450740,451678,-
OR4F16,olfactory receptor family 4 subfamily F member 16,81399,1,683910,720115,-
SAMD11,sterile alpha motif domain containing 11,148398,1,923923,944574,+
NOC2L,NOC2 like nucleolar associated transcriptional repressor,26155,1,944203,959256,-
KLHL17,kelch like family member 17,339451,1,960103,965719,+
PLEKHN1,pleckstrin homology domain containing N1,84069,1,965820,975865,+
PERM1,PPARGC1 and ESRR induced regulator-2C muscle 1,84808,1,975198,982093,-
HES4,hes family bHLH transcription factor 4,57801,1,998962,1001052,-
ISG15,ISG15 ubiquitin like modifier,9636,1,1013497,1014540,+
AGRN,agrin,375790,1,1020102,1056119,+
RNF223,ring finger protein 223,401934,1,1070967,1074306,-
TTLL10,tubulin tyrosine ligase like 10,254173,1,1173709,1197936,+
TNFRSF18,TNF receptor superfamily member 18,8784,1,1203508,1207901,-
TNFRSF4,TNF receptor superfamily member 4,7293,1,1211326,1216812,-
SDF4,stromal cell derived factor 4,51150,1,1216908,1232005,-
B3GALT6,beta-1-2C3-galactosyltransferase 6,126792,1,1232237,1235041,+
C1QTNF12,C1q and TNF related 12,388581,1,1242448,1247218,-
UBE2J2,ubiquitin conjugating enzyme E2 J2,118424,1,1253912,1273854,-
SCNN1D,sodium channel epithelial 1 subunit delta,6339,1,1280436,1292025,+
ACAP3,ArfGAP with coiled-coil-2C ankyrin repeat and PH domains 3,116983,1,1292384,1307930,-
PUSL1,pseudouridine synthase like 1,126789,1,1308563,1311677,+
INTS11,integrator complex subunit 11,54973,1,1311597,1324660,-
CPTP,ceramide-1-phosphate transfer protein,80772,1,1324757,1328896,+
TAS1R3,taste 1 receptor member 3,83756,1,1331280,1335320,+
DVL1,dishevelled segment polarity protein 1,1855,1,1335278,1349418,-
MXRA8,matrix remodeling associated 8,54587,1,1352689,1363541,-
AURKAIP1,aurora kinase A interacting protein 1,54998,1,1373730,1375516,-
CCNL2,cyclin L2,81669,1,1385711,1399336,-
MRPL20,mitochondrial ribosomal protein L20,55052,1,1401909,1407293,-
ANKRD65,ankyrin repeat domain 65,441869,1,1418420,1422471,-
TMEM88B,transmembrane protein 88B,643965,1,1425871,1430255,+
VWA1,von Willebrand factor A domain containing 1,64856,1,1435690,1442882,+
ATAD3C,ATPase family AAA domain containing 3C,219293,1,1449689,1470163,+
ATAD3B,ATPase family AAA domain containing 3B,83858,1,1471732,1509466,+
ATAD3A,ATPase family AAA domain containing 3A,55210,1,1512143,1534686,+
TMEM240,transmembrane protein 240,339453,1,1534778,1540624,-
SSU72,SSU72 homolog-2C RNA polymerase II CTD phosphatase,29101,1,1541673,1574863,-
FNDC10,fibronectin type III domain containing 10,643988,1,1598012,1600135,-
MIB2,MIB E3 ubiquitin protein ligase 2,142678,1,1613730,1630605,+
MMP23B,matrix metallopeptidase 23B,8510,1,1631681,1635638,+
CDK11B,cyclin dependent kinase 11B,984,1,1635225,1659619,-
SLC35E2B,solute carrier family 35 member E2B,728661,1,1661478,1692795,-
CDK11A,cyclin dependent kinase 11A,728642,1,1702379,1724357,-
"NADK","NAD kinase",65220,1,1751232,1780509,-
GNB1,G protein subunit beta 1,2782,1,1785286,1891087,-
CALML6,calmodulin like 6,163688,1,1913751,1917296,+
TMEM52,transmembrane protein 52,339456,1,1917591,1919279,-
CFAP74,cilia and flagella associated protein 74,85452,1,1921957,2003786,-
GABRD,gamma-aminobutyric acid type A receptor subunit delta,2563,1,2019345,2030758,+
PRKCZ,protein kinase C zeta,5590,1,2050411,2185395,+
FAAP20,FA core complex associated protein 20,199990,1,2184457,2212720,-
SKI,SKI proto-oncogene,6497,1,2228319,2310213,+
MORN1,MORN repeat containing 1,79906,1,2321253,2391554,-
RER1,retention in endoplasmic reticulum sorting receptor 1,11079,1,2391841,2405436,+
PEX10,peroxisomal biogenesis factor 10,5192,1,2403974,2413827,-
PLCH2,phospholipase C eta 2,9651,1,2412481,2505532,+
PANK4,pantothenate kinase 4 (inactive),55229,1,2508537,2526622,-
HES5,hes family bHLH transcription factor 5,388585,1,2528745,2530554,-
TNFRSF14,TNF receptor superfamily member 14,8764,1,2556371,2563829,+
PRXL2B,peroxiredoxin like 2B,127281,1,2586523,2591469,+
MMEL1,membrane metalloendopeptidase like 1,79258,1,2590639,2633016,-
TTC34,tetratricopeptide repeat domain 34,100287898,1,2636986,2801693,-
ACTRT2,actin related protein T2,140625,1,3021467,3022903,+
PRDM16,PR/SET domain 16,63976,1,3069203,3438621,+
ARHGEF16,Rho guanine nucleotide exchange factor 16,27237,1,3454589,3481115,+
MEGF6,multiple EGF like domains 6,1953,1,3487951,3624770,-
TPRG1L,tumor protein p63 regulated 1 like,127262,1,3625015,3630127,+
WRAP73,WD repeat containing-2C antisense to TP73,49856,1,3630767,3650103,-
TP73,tumor protein p73,7161,1,3652516,3736201,+
CCDC27,coiled-coil domain containing 27,148870,1,3752398,3771645,+
SMIM1,small integral membrane protein 1 (Vel blood group),388588,1,3772749,3775956,+
LRRC47,leucine rich repeat containing 47,57470,1,3778559,3796498,-
CEP104,centrosomal protein 104,9731,1,3812086,3857233,-
DFFB,DNA fragmentation factor subunit beta,1677,1,3857286,3885429,+
AJAP1,adherens junctions associated protein 1,55966,1,4654609,4792534,+
NPHP4,nephrocystin 4,261734,1,5862810,5992425,-
KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2,8514,1,5992639,6101186,+
CHD5,chromodomain helicase DNA binding protein 5,26038,1,6101787,6180321,-
RPL22,ribosomal protein L22,6146,1,6185020,6199595,-
RNF207,ring finger protein 207,388591,1,6206004,6221299,+
ICMT,isoprenylcysteine carboxyl methyltransferase,23463,1,6221193,6235964,-
HES3,hes family bHLH transcription factor 3,390992,1,6244179,6245578,+
GPR153,G protein-coupled receptor 153,387509,1,6247353,6261098,-
ACOT7,acyl-CoA thioesterase 7,11332,1,6264272,6393767,-
HES2,hes family bHLH transcription factor 2,54626,1,6415232,6419919,-
ESPN,espin,83715,1,6424776,6461367,+
TNFRSF25,TNF receptor superfamily member 25,8718,1,6460786,6466173,-
PLEKHG5,pleckstrin homology and RhoGEF domain containing G5,57449,1,6466092,6520092,-
NOL9,nucleolar protein 9,79707,1,6521347,6554535,-
TAS1R1,taste 1 receptor member 1,80835,1,6555307,6579755,+
ZBTB48,zinc finger and BTB domain containing 48,3104,1,6579994,6589280,+
KLHL21,kelch like family member 21,9903,1,6590724,6602869,-
PHF13,PHD finger protein 13,148479,1,6613731,6624030,+
THAP3,THAP domain containing 3,90326,1,6624616,6635595,+
DNAJC11,DnaJ heat shock protein family (Hsp40) member C11,55735,1,6634168,6701833,-
CAMTA1,calmodulin binding transcription activator 1,23261,1,6785452,7769706,+
VAMP3,vesicle associated membrane protein 3,9341,1,7771275,7781432,+
PER3,period circadian regulator 3,8863,1,7784285,7845181,+
UTS2,urotensin 2,10911,1,7846345,7913615,-
TNFRSF9,TNF receptor superfamily member 9,3604,1,7915871,7941607,-
PARK7,Parkinsonism associated deglycase,11315,1,7961711,7985505,+
ERRFI1,ERBB receptor feedback inhibitor 1,54206,1,8011725,8026309,-
SLC45A1,solute carrier family 45 member 1,50651,1,8318114,8344167,+
RERE,arginine-glutamic acid dipeptide repeats,473,1,8352404,8817640,-
ENO1,enolase 1,2023,1,8861000,8878686,-
CA6,carbonic anhydrase 6,765,1,8945868,8975092,+
SLC2A7,solute carrier family 2 member 7,155184,1,8992534,9026423,-
SLC2A5,solute carrier family 2 member 5,6518,1,9035106,9072259,-
GPR157,G protein-coupled receptor 157,80045,1,9100305,9129124,-
H6PD,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,9563,1,9234767,9271337,+
SPSB1,splA/ryanodine receptor domain and SOCS box containing 1,80176,1,9292894,9369532,+
SLC25A33,solute carrier family 25 member 33,84275,1,9539465,9585173,+
TMEM201,transmembrane protein 201,199953,1,9588843,9614877,+
PIK3CD,phosphatidylinositol-4-2C5-bisphosphate 3-kinase catalytic subunit delta,5293,1,9629889,9729114,+
CLSTN1,calsyntenin 1,22883,1,9728926,9824526,-
CTNNBIP1,catenin beta interacting protein 1,56998,1,9848276,9910322,-
LZIC,leucine zipper and CTNNBIP1 domain containing,84328,1,9922118,9943402,-
NMNAT1,nicotinamide nucleotide adenylyltransferase 1,64802,1,9942923,9996884,+
RBP7,retinol binding protein 7,116362,1,9997228,10016021,+
UBE4B,ubiquitination factor E4B,10277,1,10032958,10181239,+
KIF1B,kinesin family member 1B,23095,1,10210570,10381603,+
PGD,phosphogluconate dehydrogenase,5226,1,10399064,10420511,+
CENPS-CORT,CENPS-CORT readthrough,100526739,1,10430433,10452153,+
